"Name","Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2018, <a href=""https://familiesusa.org/resources/federal-poverty-guidelines/"" target=""_blank"">the annual income thresholds for a family of four</a> would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,100&nbsp;<br />
100 to 199% FPL = $25,100 to $50,199<br />
Below 200% FPL = Below $50,200<br />
200 to 399% FPL = $50,200 to $100,399<br />
400% FPL and above = $100,400 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2005-2018). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Lower East Side,Below 200% FPL,2013,Number,75487,103
Lower East Side,200 to 399% FPL,2013,Number,35845,103
Lower East Side,400% FPL and above,2013,Number,45862,103
Lower East Side,Below 100% FPL,2014,Number,32971,103
Lower East Side,100 to 199% FPL,2014,Number,31769,103
Lower East Side,Below 200% FPL,2014,Number,64740,103
Lower East Side,200 to 399% FPL,2014,Number,29691,103
Lower East Side,400% FPL and above,2014,Number,51351,103
Lower East Side,Below 100% FPL,2015,Number,43019,103
Lower East Side,100 to 199% FPL,2015,Number,28651,103
Lower East Side,Below 200% FPL,2015,Number,71670,103
Lower East Side,200 to 399% FPL,2015,Number,33700,103
Lower East Side,400% FPL and above,2015,Number,51164,103
Lower East Side,Below 100% FPL,2016,Number,40715,103
Lower East Side,100 to 199% FPL,2016,Number,33594,103
Lower East Side,Below 200% FPL,2016,Number,74309,103
Lower East Side,200 to 399% FPL,2016,Number,26519,103
Lower East Side,400% FPL and above,2016,Number,51506,103
Lower East Side,Below 100% FPL,2017,Number,41546,103
Lower East Side,100 to 199% FPL,2017,Number,37451,103
Lower East Side,Below 200% FPL,2017,Number,78997,103
Lower East Side,200 to 399% FPL,2017,Number,28115,103
Lower East Side,400% FPL and above,2017,Number,46346,103
Lower East Side,Below 100% FPL,2018,Number,44241,103
Lower East Side,100 to 199% FPL,2018,Number,25814,103
Lower East Side,Below 200% FPL,2018,Number,70055,103
Lower East Side,200 to 399% FPL,2018,Number,30824,103
Lower East Side,400% FPL and above,2018,Number,47574,103
Chelsea/Clinton,Below 100% FPL,2005,Number,10271.31734,104
Chelsea/Clinton,100 to 199% FPL,2005,Number,10223.99944,104
Chelsea/Clinton,Below 200% FPL,2005,Number,20495.31678,104
Chelsea/Clinton,200 to 399% FPL,2005,Number,15167.05425,104
Chelsea/Clinton,400% FPL and above,2005,Number,55127.35712,104
Chelsea/Clinton,Below 100% FPL,2006,Number,9916.09984,104
Chelsea/Clinton,100 to 199% FPL,2006,Number,11128.3712,104
Chelsea/Clinton,Below 200% FPL,2006,Number,21044.47104,104
Chelsea/Clinton,200 to 399% FPL,2006,Number,14150.71899,104
Chelsea/Clinton,400% FPL and above,2006,Number,50056.34403,104
Chelsea/Clinton,Below 100% FPL,2007,Number,11630.87401,104
Chelsea/Clinton,100 to 199% FPL,2007,Number,8513.22396,104
Chelsea/Clinton,Below 200% FPL,2007,Number,20144.09797,104
Chelsea/Clinton,200 to 399% FPL,2007,Number,14184.04146,104
Chelsea/Clinton,400% FPL and above,2007,Number,52918.74398,104
Chelsea/Clinton,Below 100% FPL,2008,Number,11412.94507,104
Chelsea/Clinton,100 to 199% FPL,2008,Number,11093.04939,104
Chelsea/Clinton,Below 200% FPL,2008,Number,22505.99446,104
Chelsea/Clinton,200 to 399% FPL,2008,Number,14609.23614,104
Chelsea/Clinton,400% FPL and above,2008,Number,56381.61479,104
Chelsea/Clinton,Below 100% FPL,2009,Number,11965.43158,104
Chelsea/Clinton,100 to 199% FPL,2009,Number,8833.11965,104
Chelsea/Clinton,Below 200% FPL,2009,Number,20798.55123,104
Chelsea/Clinton,200 to 399% FPL,2009,Number,14521.93128,104
Chelsea/Clinton,400% FPL and above,2009,Number,57452.59889,104
Chelsea/Clinton,Below 100% FPL,2010,Number,11201.68063,104
Chelsea/Clinton,100 to 199% FPL,2010,Number,13371.63971,104
Chelsea/Clinton,Below 200% FPL,2010,Number,24573.32034,104
Chelsea/Clinton,200 to 399% FPL,2010,Number,13660.87872,104
Chelsea/Clinton,400% FPL and above,2010,Number,48876.06224,104
Chelsea/Clinton,Below 100% FPL,2011,Number,12557.2386,104
Chelsea/Clinton,100 to 199% FPL,2011,Number,9736.15852,104
Chelsea/Clinton,Below 200% FPL,2011,Number,22293.39712,104
Chelsea/Clinton,200 to 399% FPL,2011,Number,13017.7551,104
Chelsea/Clinton,400% FPL and above,2011,Number,57925.77793,104
Chelsea/Clinton,Below 100% FPL,2012,Number,9369.61138,104
Chelsea/Clinton,100 to 199% FPL,2012,Number,8873.10661,104
Chelsea/Clinton,Below 200% FPL,2012,Number,18242.71799,104
Chelsea/Clinton,200 to 399% FPL,2012,Number,15362.99036,104
Chelsea/Clinton,400% FPL and above,2012,Number,58241.67492,104
Chelsea/Clinton,Below 100% FPL,2013,Number,10922.43835,104
Chelsea/Clinton,100 to 199% FPL,2013,Number,7704.82091,104
Chelsea/Clinton,Below 200% FPL,2013,Number,18627.25926,104
Chelsea/Clinton,200 to 399% FPL,2013,Number,16923.14828,104
Chelsea/Clinton,400% FPL and above,2013,Number,60537.59292,104
Chelsea/Clinton,Below 100% FPL,2014,Number,11553.56589,104
Chelsea/Clinton,100 to 199% FPL,2014,Number,9105.69743,104
Chelsea/Clinton,Below 200% FPL,2014,Number,20659.26332,104
Chelsea/Clinton,200 to 399% FPL,2014,Number,13983.44021,104
Chelsea/Clinton,400% FPL and above,2014,Number,62893.49136,104
Chelsea/Clinton,Below 100% FPL,2015,Number,12638.54542,104
Chelsea/Clinton,100 to 199% FPL,2015,Number,8593.19789,104
Chelsea/Clinton,Below 200% FPL,2015,Number,21231.74331,104
Chelsea/Clinton,200 to 399% FPL,2015,Number,14987.11292,104
Chelsea/Clinton,400% FPL and above,2015,Number,68134.44903,104
Chelsea/Clinton,Below 100% FPL,2016,Number,12128.04522,104
Chelsea/Clinton,100 to 199% FPL,2016,Number,6486.5515,104
Chelsea/Clinton,Below 200% FPL,2016,Number,18614.59672,104
Chelsea/Clinton,200 to 399% FPL,2016,Number,10112.7024,104
Chelsea/Clinton,400% FPL and above,2016,Number,63052.10631,104
Chelsea/Clinton,Below 100% FPL,2017,Number,14889.81132,104
Chelsea/Clinton,100 to 199% FPL,2017,Number,6880.42306,104
Chelsea/Clinton,Below 200% FPL,2017,Number,21770.23438,104
Chelsea/Clinton,200 to 399% FPL,2017,Number,9789.47446,104
Chelsea/Clinton,400% FPL and above,2017,Number,67849.87516,104
Chelsea/Clinton,Below 100% FPL,2018,Number,11726.17627,104
Chelsea/Clinton,100 to 199% FPL,2018,Number,11842.8049,104
Chelsea/Clinton,Below 200% FPL,2018,Number,23568.98117,104
Chelsea/Clinton,200 to 399% FPL,2018,Number,15775.5225,104
Chelsea/Clinton,400% FPL and above,2018,Number,68813.56092,104
Midtown Business District,Below 100% FPL,2005,Number,5140.68266,105
Midtown Business District,100 to 199% FPL,2005,Number,5117.00056,105
Midtown Business District,Below 200% FPL,2005,Number,10257.68322,105
Midtown Business District,200 to 399% FPL,2005,Number,7590.94575,105
Midtown Business District,400% FPL and above,2005,Number,27590.64288,105
Midtown Business District,Below 100% FPL,2006,Number,4962.90016,105
Midtown Business District,100 to 199% FPL,2006,Number,5569.6288,105
Midtown Business District,Below 200% FPL,2006,Number,10532.52896,105
Midtown Business District,200 to 399% FPL,2006,Number,7082.28101,105
Midtown Business District,400% FPL and above,2006,Number,25052.65597,105
Midtown Business District,Below 100% FPL,2007,Number,5821.12599,105
Midtown Business District,100 to 199% FPL,2007,Number,4260.77604,105
Midtown Business District,Below 200% FPL,2007,Number,10081.90203,105
Midtown Business District,200 to 399% FPL,2007,Number,7098.95854,105
Midtown Business District,400% FPL and above,2007,Number,26485.25602,105
Midtown Business District,Below 100% FPL,2008,Number,5712.05493,105
Midtown Business District,100 to 199% FPL,2008,Number,5551.95061,105
Midtown Business District,Below 200% FPL,2008,Number,11264.00554,105
Midtown Business District,200 to 399% FPL,2008,Number,7311.76386,105
Midtown Business District,400% FPL and above,2008,Number,28218.38521,105
Midtown Business District,Below 100% FPL,2009,Number,5988.56842,105
Midtown Business District,100 to 199% FPL,2009,Number,4420.88035,105
Midtown Business District,Below 200% FPL,2009,Number,10409.44877,105
Midtown Business District,200 to 399% FPL,2009,Number,7268.06872,105
Midtown Business District,400% FPL and above,2009,Number,28754.40111,105
Midtown Business District,Below 100% FPL,2010,Number,5606.31937,105
Midtown Business District,100 to 199% FPL,2010,Number,6692.36029,105
Midtown Business District,Below 200% FPL,2010,Number,12298.67966,105
Midtown Business District,200 to 399% FPL,2010,Number,6837.12128,105
Midtown Business District,400% FPL and above,2010,Number,24461.93776,105
Midtown Business District,Below 100% FPL,2011,Number,6284.7614,105
Midtown Business District,100 to 199% FPL,2011,Number,4872.84148,105
Midtown Business District,Below 200% FPL,2011,Number,11157.60288,105
Midtown Business District,200 to 399% FPL,2011,Number,6515.2449,105
Midtown Business District,400% FPL and above,2011,Number,28991.22207,105
Midtown Business District,Below 100% FPL,2012,Number,4689.38862,105
Midtown Business District,100 to 199% FPL,2012,Number,4440.89339,105
Midtown Business District,Below 200% FPL,2012,Number,9130.28201,105
Midtown Business District,200 to 399% FPL,2012,Number,7689.00964,105
Midtown Business District,400% FPL and above,2012,Number,29149.32508,105
Midtown Business District,Below 100% FPL,2013,Number,5466.56165,105
Midtown Business District,100 to 199% FPL,2013,Number,3856.17909,105
Midtown Business District,Below 200% FPL,2013,Number,9322.74074,105
Midtown Business District,200 to 399% FPL,2013,Number,8469.85172,105
Midtown Business District,400% FPL and above,2013,Number,30298.40708,105
Midtown Business District,Below 100% FPL,2014,Number,5782.43411,105
Midtown Business District,100 to 199% FPL,2014,Number,4557.30257,105
Midtown Business District,Below 200% FPL,2014,Number,10339.73668,105
Midtown Business District,200 to 399% FPL,2014,Number,6998.55979,105
Midtown Business District,400% FPL and above,2014,Number,31477.50864,105
Midtown Business District,Below 100% FPL,2015,Number,6325.45458,105
Midtown Business District,100 to 199% FPL,2015,Number,4300.80211,105
Midtown Business District,Below 200% FPL,2015,Number,10626.25669,105
Midtown Business District,200 to 399% FPL,2015,Number,7500.88708,105
Midtown Business District,400% FPL and above,2015,Number,34100.55097,105
Midtown Business District,Below 100% FPL,2016,Number,6069.95478,105
Midtown Business District,100 to 199% FPL,2016,Number,3246.4485,105
Midtown Business District,Below 200% FPL,2016,Number,9316.40328,105
Midtown Business District,200 to 399% FPL,2016,Number,5061.2976,105
Midtown Business District,400% FPL and above,2016,Number,31556.89369,105
Midtown Business District,Below 100% FPL,2017,Number,7452.18868,105
Midtown Business District,100 to 199% FPL,2017,Number,3443.57694,105
Midtown Business District,Below 200% FPL,2017,Number,10895.76562,105
Midtown Business District,200 to 399% FPL,2017,Number,4899.52554,105
Midtown Business District,400% FPL and above,2017,Number,33958.12484,105
Midtown Business District,Below 100% FPL,2018,Number,5868.82373,105
