"Name","Family Income"
"Description","Families by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19101 (2005-2018); retrieved from https://data.census.gov/.&nbsp;"
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Riverdale,"$100,000 to $199,999",2016,Number,6247,208
Unionport/Soundview,"$200,000 or more",2016,Percent,0.006,209
Unionport/Soundview,"$75,000 to $99,999",2016,Percent,0.101,209
Unionport/Soundview,"$15,000 to $24,999",2016,Percent,0.11,209
Unionport/Soundview,"$25,000 to $34,999",2016,Percent,0.129,209
Unionport/Soundview,"$35,000 to $49,999",2016,Percent,0.141,209
Unionport/Soundview,"$100,000 to $199,999",2016,Percent,0.151,209
Unionport/Soundview,"Under $15,000",2016,Percent,0.172,209
Unionport/Soundview,"$50,000 to $74,999",2016,Percent,0.191,209
Unionport/Soundview,"$200,000 or more",2016,Number,280,209
Unionport/Soundview,"$75,000 to $99,999",2016,Number,4511,209
Unionport/Soundview,"$15,000 to $24,999",2016,Number,4937,209
Unionport/Soundview,"$25,000 to $34,999",2016,Number,5751,209
Unionport/Soundview,"$35,000 to $49,999",2016,Number,6281,209
Unionport/Soundview,"$100,000 to $199,999",2016,Number,6744,209
Unionport/Soundview,"Under $15,000",2016,Number,7670,209
Unionport/Soundview,"$50,000 to $74,999",2016,Number,8513,209
Throgs Neck,"$15,000 to $24,999",2016,Percent,0.028,210
Throgs Neck,"$200,000 or more",2016,Percent,0.04,210
Throgs Neck,"$35,000 to $49,999",2016,Percent,0.093,210
Throgs Neck,"Under $15,000",2016,Percent,0.1,210
Throgs Neck,"$25,000 to $34,999",2016,Percent,0.115,210
Throgs Neck,"$75,000 to $99,999",2016,Percent,0.149,210
Throgs Neck,"$50,000 to $74,999",2016,Percent,0.174,210
Throgs Neck,"$100,000 to $199,999",2016,Percent,0.3,210
Throgs Neck,"$15,000 to $24,999",2016,Number,796,210
Throgs Neck,"$200,000 or more",2016,Number,1125,210
Throgs Neck,"$35,000 to $49,999",2016,Number,2626,210
Throgs Neck,"Under $15,000",2016,Number,2813,210
Throgs Neck,"$25,000 to $34,999",2016,Number,3248,210
Throgs Neck,"$75,000 to $99,999",2016,Number,4209,210
Throgs Neck,"$50,000 to $74,999",2016,Number,4886,210
Throgs Neck,"$100,000 to $199,999",2016,Number,8457,210
Pelham Parkway,"$200,000 or more",2016,Percent,0.033,211
Pelham Parkway,"$25,000 to $34,999",2016,Percent,0.079,211
Pelham Parkway,"$15,000 to $24,999",2016,Percent,0.109,211
Pelham Parkway,"Under $15,000",2016,Percent,0.12,211
Pelham Parkway,"$35,000 to $49,999",2016,Percent,0.122,211
Pelham Parkway,"$75,000 to $99,999",2016,Percent,0.137,211
Pelham Parkway,"$100,000 to $199,999",2016,Percent,0.197,211
Pelham Parkway,"$50,000 to $74,999",2016,Percent,0.204,211
Pelham Parkway,"$200,000 or more",2016,Number,975,211
Pelham Parkway,"$25,000 to $34,999",2016,Number,2306,211
Pelham Parkway,"$15,000 to $24,999",2016,Number,3201,211
Pelham Parkway,"Under $15,000",2016,Number,3511,211
Pelham Parkway,"$35,000 to $49,999",2016,Number,3572,211
Pelham Parkway,"$75,000 to $99,999",2016,Number,4027,211
