"Name","Household Income"
"Description","Households by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19001 (2005-2018); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Howard Beach,"$200,000 or more",2005,Number,623,410
Bayside,"$200,000 or more",2005,Number,1944,411
Jamaica/St. Albans,"$200,000 or more",2005,Number,321,412
Queens Village,"$200,000 or more",2005,Number,1289,413
The Rockaways,"$200,000 or more",2005,Number,798,414
St. George,"$200,000 or more",2005,Number,1290,501
South Beach,"$200,000 or more",2005,Number,2005,502
Tottenville,"$200,000 or more",2005,Number,3301,503
Bronx,"$200,000 or more",2005,Number,3694,36005
Brooklyn,"$200,000 or more",2005,Number,20026,36047
Manhattan,"$200,000 or more",2005,Number,96822,36061
Queens,"$200,000 or more",2005,Number,12538,36081
Staten Island,"$200,000 or more",2005,Number,6596,36085
New York City,"$200,000 or more",2005,Number,139676,3651000
Battery Park/Tribeca,"$200,000 or more",2005,Percent,0.18194,101
Greenwich Village,"$200,000 or more",2005,Percent,0.18194,102
Lower East Side,"$200,000 or more",2005,Percent,0.02533,103
Chelsea/Clinton,"$200,000 or more",2005,Percent,0.147,104
Midtown Business District,"$200,000 or more",2005,Percent,0.147,105
Murray Hill/Stuyvesant,"$200,000 or more",2005,Percent,0.16777,106
Upper West Side,"$200,000 or more",2005,Percent,0.24169,107
Upper East Side,"$200,000 or more",2005,Percent,0.22692,108
Manhattanville,"$200,000 or more",2005,Percent,0.052,109
Central Harlem,"$200,000 or more",2005,Percent,0.00796,110
East Harlem,"$200,000 or more",2005,Percent,0.0486,111
Washington Heights,"$200,000 or more",2005,Percent,0.0157,112
Mott Haven,"$200,000 or more",2005,Percent,0.0011,201
Hunts Point,"$200,000 or more",2005,Percent,0.0011,202
Morrisania,"$200,000 or more",2005,Percent,0.00849,203
Concourse/Highbridge,"$200,000 or more",2005,Percent,0.00138,204
University Heights,"$200,000 or more",2005,Percent,0.00342,205
East Tremont,"$200,000 or more",2005,Percent,0.00849,206
Bedford Park,"$200,000 or more",2005,Percent,0,207
Riverdale,"$200,000 or more",2005,Percent,0.02498,208
Unionport/Soundview,"$200,000 or more",2005,Percent,0.01028,209
Throgs Neck,"$200,000 or more",2005,Percent,0.01986,210
Pelham Parkway,"$200,000 or more",2005,Percent,0.00614,211
Williamsbridge,"$200,000 or more",2005,Percent,0.00559,212
